15
Generation 1 # of feats=5 Fitness=13.3666188884 [0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]
Generation 2 # of feats=5 Fitness=13.3666188884 [0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]
Generation 3 # of feats=6 Fitness=11.8497637628 [0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0]
Generation 4 # of feats=7 Fitness=11.613048787 [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0]
Generation 5 # of feats=7 Fitness=11.3956574826 [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]
Generation 6 # of feats=7 Fitness=11.3956574826 [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]
Generation 7 # of feats=7 Fitness=11.3956574826 [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]
Generation 8 # of feats=7 Fitness=11.3956574826 [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]
Generation 9 # of feats=7 Fitness=11.3956574826 [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]
Generation 10 # of feats=7 Fitness=11.3956574826 [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]
Generation 11 # of feats=7 Fitness=11.3956574826 [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]
Generation 12 # of feats=7 Fitness=11.3956574826 [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]
Generation 13 # of feats=7 Fitness=11.3956574826 [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]
Generation 14 # of feats=8 Fitness=11.3956574826 [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1]
Generation 15 # of feats=7 Fitness=11.3956574826 [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]
Generation 16 # of feats=7 Fitness=11.3956574826 [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]
Generation 17 # of feats=7 Fitness=11.3956574826 [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]
Generation 18 # of feats=7 Fitness=11.3956574826 [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]
Generation 19 # of feats=7 Fitness=11.3956574826 [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]
Generation 20 # of feats=7 Fitness=11.3956574826 [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]
Generation 21 # of feats=7 Fitness=11.3956574826 [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]
Generation 22 # of feats=7 Fitness=11.3956574826 [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]
Generation 23 # of feats=7 Fitness=11.3956574826 [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]
Generation 24 # of feats=7 Fitness=11.3956574826 [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]
Generation 25 # of feats=7 Fitness=11.3956574826 [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]
Generation 26 # of feats=8 Fitness=11.3956574826 [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1]
Generation 27 # of feats=7 Fitness=11.3956574826 [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]
Generation 28 # of feats=7 Fitness=11.3956574826 [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]
Generation 29 # of feats=7 Fitness=11.3956574826 [0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]
